Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
1,ii,1835,0.402,5,5,1.0,0.9465069864146562,15.377355000150859,0.0,0.0,,0.0
1,ii,2702,0.354,5,5,1.0,1.0,14.2464252465794,0.0,0.0,,0.0
1,ii,4483,0.402,5,5,1.0,0.9955650633498773,15.56189012336513,0.2878855170907527,1.0,1,1.0
1,ii,5268,0.191,5,5,1.0,0.9519246685856497,13.865495493007945,0.0,0.0,,0.0
1,ii,6937,0.331,5,5,1.0,0.9884079729841538,14.119354058148824,0.0,0.0,,0.0
1,ii,7880,0.51,5,5,1.0,0.995571037709914,14.715622090756977,0.06826948594477064,0.045454545454545456,22,0.045454545454545456
1,ii,9050,0.615,5,5,1.0,0.984951213366015,14.346551844328435,0.15447197724724576,0.25,4,0.25
1,ii,9197,0.5750000000000001,5,5,1.0,0.9829631810575754,11.553889181363095,0.0,0.0,,0.0
1,ii,10573,0.51,5,5,1.0,1.0,12.784945532683583,0.0,0.0,,0.0
1,ii,11406,0.355,5,5,1.0,1.0,14.531086967542706,0.0,0.0,,0.0
1,ii,13215,0.626,5,5,1.0,0.9841450105648921,11.454395572359223,0.0,0.0,,0.0
1,ii,13565,0.579,5,5,1.0,0.942465558781693,11.781086967542706,0.0,0.0,,0.0
1,ii,13700,0.436,5,5,1.0,0.9767628468582126,11.965622090756977,0.0,0.0,,0.0
1,ii,14437,0.771,5,5,1.0,1.0,14.00028381172028,0.0,0.0,,0.0
1,ii,14492,0.496,5,5,1.0,0.9491933159011797,11.565748688506009,0.0,0.0,,0.0
1,ii,16559,0.333,5,5,1.0,1.0,16.596551844328435,0.0,0.0,,0.0
1,ii,16766,0.41600000000000004,5,5,1.0,0.9437465852053095,12.065748688506009,0.0,0.0,,0.0
1,ii,17022,0.545,5,5,1.0,1.0,14.454395572359223,0.0,0.0,,0.0
1,ii,18115,0.481,5,5,1.0,0.8549658827238761,11.7464252465794,0.36392598802467374,0.5,2,0.5
1,ii,18204,0.224,5,5,1.0,0.878873082300692,10.888297706828334,0.0,0.0,,0.0
1,ii,19560,0.397,5,5,1.0,0.9788602724872969,12.303889181363095,0.0,0.0,,0.0
1,ii,20028,0.468,5,5,1.0,0.971737241386877,13.881213565291738,0.0,0.0,,0.0
1,ii,21391,0.376,5,5,1.0,0.9605828035414067,12.184818934934553,0.0,0.0,,0.0
1,ii,22352,0.492,5,5,1.0,0.9976939977103352,14.9964252465794,0.0,0.0,,0.0
1,ii,22363,0.443,5,5,1.0,0.9266724783114465,7.823465818787765,0.0,0.0,,0.0
1,ii,23068,0.426,5,5,1.0,1.0,13.804522170108255,0.0,0.0,,0.0
