Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,lucene,,1.2690000000000001,34.916000000000004,172,860,839,0.9755813953488373,0.6639670177483596,0.7373353372053534,0.9643494602271799,0.025054281000049063,0.0275829354629985,0.029203539889467434
5,lucene-svd-blend,0.9,10.101,45.985,172,860,860,1.0,0.6589886920973363,0.7324160812411273,0.9771326793060626,0.06802864598674664,0.10720635385860172,0.11591450079349284
5,lucene-svd-blend,1.0,48.957,46.767,172,860,860,1.0,0.6653714788546027,0.7390954547866986,0.976741139668142,0.06351469092252549,0.09810981604518558,0.10680710260242426
1,ii,,34.839,91.364,173,865,865,1.0,0.6969767407758125,0.7751924972961163,0.9689601001133558,0.034767732251266545,0.04301962436990412,0.04463054835139859
5,lucene-svd-blend,0.8,0.134,33.011,172,860,860,1.0,0.6539528659896049,0.7272292904700188,0.9767990974206515,0.06705708205444513,0.1117073876196203,0.12135076996307105
1,svd,,26.621000000000002,0.726,173,865,865,1.0,0.711028763811202,0.7862029343465093,0.9704547631750979,0.04717015177555771,0.07188351721601942,0.07605320388633438
5,ii-svd-blend,1.0,83.407,90.641,172,860,860,1.0,0.6653714788546027,0.7390954547866986,0.976741139668142,0.06351469092252549,0.09810981604518558,0.10680710260242426
5,ii-svd-blend,0.9,0.756,86.777,172,860,860,1.0,0.6618554579799109,0.7358090125540805,0.9768923297293086,0.06435966775510123,0.09856909751079403,0.10589559723212956
5,lucene-svd-blend,0.7,0.031,37.469,172,860,860,1.0,0.6503045635687678,0.7235671813018527,0.9769599960755134,0.06462556851732902,0.1032630704688628,0.11165958038469558
5,ii-svd-blend,0.8,0.219,88.885,172,860,860,1.0,0.659097084472198,0.7333194729125826,0.9774691364143746,0.06465653108297502,0.09655272266776678,0.10693726389879622
5,lucene-svd-blend,0.6,0.054,37.499,172,860,860,1.0,0.6480923769093985,0.721452972049706,0.97668248946704,0.05940218644002669,0.08692191046970459,0.09463580413734313
5,ii-svd-blend,0.7,0.212,87.737,172,860,860,1.0,0.6571095821610023,0.7316349707861757,0.9774461754727494,0.06458337144497835,0.09666577372140032,0.11037320959174583
5,lucene-svd-blend,0.5,0.077,30.822,172,860,860,1.0,0.6473703765902467,0.7209002815814852,0.9761389663418792,0.05291032125212152,0.07513156700071509,0.081811675496606
1,ii-svd-blend,0,49.45,86.264,173,865,865,1.0,0.6969767407758125,0.7751924972961163,0.9689601001133558,0.034807685479063294,0.04311596348358428,0.044726887465078746
5,ii-svd-blend,0.6,0.106,84.525,172,860,860,1.0,0.6559087689947778,0.7307610733538776,0.9772696506539214,0.058177081005289,0.0872540945180264,0.09488738768911027
5,lucene-svd-blend,0.4,0.035,31.955000000000002,172,860,860,1.0,0.6481818859180495,0.7219126963642067,0.975845796658882,0.04865952599767749,0.06638820949850244,0.07440554905261489
1,lucene-svd-blend,0,0.029,31.73,173,865,865,1.0,0.7053164112652599,0.7814908434336402,0.9691165821980154,0.03225979140300514,0.038866224199354704,0.04093336656920472
5,lucene-svd-blend,0.3,0.039,30.072,172,860,860,1.0,0.6505371788663005,0.7244836550551563,0.9748054658723453,0.042044218970950446,0.05634360618052551,0.06447164497609094
5,ii-svd-blend,0.5,0.096,77.955,172,860,860,1.0,0.6555131085450854,0.7307006890025884,0.9771553619048341,0.05809114255126811,0.08806687293884699,0.09507504607795306
5,lucene-svd-blend,0.2,0.049,28.481,172,860,860,1.0,0.6544074298868293,0.7285966591983404,0.9753446394547163,0.035678431216046656,0.047734357934131874,0.055240556813112275
5,ii-svd-blend,0.4,0.101,74.524,172,860,860,1.0,0.6559414042036262,0.7314540192082665,0.977111766228506,0.05396712477422711,0.08641022091603487,0.09139384355954122
1,ii-svd-blend,0.1,0.146,74.07300000000001,173,865,865,1.0,0.6948752479365037,0.7721093596421728,0.9695093204015361,0.039738126655196604,0.04540561909890591,0.0496807294550594
5,lucene-svd-blend,0.1,0.026000000000000002,28.432000000000002,172,860,860,1.0,0.6597399114761678,0.7342257944464706,0.9759628757499117,0.028765690547495212,0.03530606606057111,0.04161705439254022
5,ii-svd-blend,0.3,0.113,72.389,172,860,860,1.0,0.6572070508065276,0.7330185551884205,0.9766210846222189,0.048611809307432634,0.07344865880064402,0.0789563605918725
1,lucene-svd-blend,0.1,0.032,30.293,173,865,865,1.0,0.6985983054579293,0.7737851927513676,0.9704280431793224,0.03489535621383994,0.04551751519343131,0.04714000826449153
5,lucene-svd-blend,0,0.03,32.898,172,860,860,1.0,0.6664768533537572,0.7413365246288514,0.9759307386616303,0.025054281000049063,0.0275829354629985,0.029203539889467434
