Partition,Algorithm,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,Predict.nDCG,TopN.nDCG,MAP,MRR
1,ii,22.412,75.493,173,865,865,1.0,0.9689601001133558,0.034807685479063294,0.04311596348358428,0.044726887465078746
5,lucene-log,67.599,32.516,172,860,860,1.0,0.9627481232362606,0.13621229985633207,0.18452114512429194,0.21567015891575603
5,lucene-svd-log,88.793,33.753,172,860,860,1.0,0.9633348909236065,0.13983174905954543,0.18844535164746934,0.223553268666975
5,popular,0.014,0.401,,,,,,0.12458957750287976,0.16076960459185294,0.19047507790028453
1,svd,26.144000000000002,0.7020000000000001,173,865,865,1.0,0.9711448827331113,0.04959300702863155,0.07449390521758943,0.0784110400804955
5,lucene,0.09,29.324,172,860,839,0.9755813953488373,0.9643494602271799,0.025054281000049063,0.0275829354629985,0.029203539889467434
1,svd-log,31.977,0.839,173,865,865,1.0,0.9552176933050421,0.11143168714996629,0.16580711362811773,0.20073967980793453
5,svd-log,39.545,1.028,172,860,860,1.0,0.9616849291807873,0.1336445653486128,0.18053483659003997,0.21229667244102343
5,ii-svd-log,114.479,80.552,172,860,860,1.0,0.9608930693841544,0.1330896136722829,0.1755846378286344,0.20229753719803723
1,lucene,0.016,36.411,173,865,830,0.9595375722543352,0.9467796252294027,0.033170491014062733,0.040311310904557016,0.04237845327440703
1,popular,0.015,0.529,,,,,,0.10530358222358421,0.16406947827928486,0.1970198384787031
5,svd,25.62,0.539,172,860,860,1.0,0.9753293490600067,0.05538351910758043,0.09138248232936082,0.10291634381340968
5,ii-log,98.901,85.283,172,860,860,1.0,0.962236620889823,0.13496205713463894,0.1737725242531987,0.2090254975625574
5,ii,21.536,82.299,172,860,860,1.0,0.9757960472468383,0.032973099079668555,0.044455067704084764,0.04683379391237033
4,lucene-log,67.179,33.07,172,860,860,1.0,0.9599852350882712,0.09233830696766422,0.1442176126466244,0.16033422571910574
1,ii-log,88.956,81.016,173,865,865,1.0,0.9572401986761682,0.11012987649615633,0.17730230052774804,0.21061655850328703
4,lucene-svd-log,83.876,34.635,172,860,860,1.0,0.959873814316463,0.09289973061671837,0.15521569109806066,0.17074421293501654
4,popular,0.038,0.271,,,,,,0.08562938135914105,0.12418593894433193,0.14101829430250104
4,lucene,0.029,34.18,172,860,826,0.9604651162790697,0.9500476717728676,0.017142652092401903,0.02260561407017235,0.02317882961431813
4,ii-svd-log,107.68,78.147,172,860,860,1.0,0.9599185495905761,0.08989897022888545,0.12480251309099284,0.14374092764261745
4,svd-log,24.255,0.684,172,860,860,1.0,0.9579174457689863,0.09755424541014734,0.1516960804172259,0.1719961966204457
4,ii-log,81.96900000000001,74.996,172,860,860,1.0,0.9606742429689521,0.08979846730933846,0.13068326748576328,0.15342861407089195
1,lucene-svd-log,90.36200000000001,27.538,173,865,865,1.0,0.9578830695994744,0.11559381667845674,0.1878972814257498,0.218945184115105
4,svd,20.848,0.6880000000000001,172,860,860,1.0,0.9690922858925862,0.03653604625064765,0.0637504140850989,0.06652710202893798
4,ii,16.555,75.172,172,860,860,1.0,0.9715477009576156,0.025342691688884207,0.035472198051890454,0.03833728635365722
3,lucene-log,56.467,28.676000000000002,172,860,860,1.0,0.9606750264077555,0.12323391264088564,0.1900715178049515,0.2300930237276428
1,ii-svd-log,89.622,63.97,173,865,865,1.0,0.9561129801979003,0.10749174853572818,0.1719767820586087,0.20142393799483227
3,ii-svd-log,89.56400000000001,68.845,172,860,860,1.0,0.9612448667201817,0.11678545445870735,0.17383730814291093,0.21532726341216682
3,popular,0.007,0.255,,,,,,0.11719746965019669,0.1833140210334021,0.20801378649041177
3,lucene-svd-log,60.915,30.884,172,860,860,1.0,0.9609100865455917,0.12614632964041936,0.1923552452667552,0.23703566235627702
3,lucene,0.011,28.857,172,860,821,0.9546511627906977,0.9518167629896996,0.02968074291518756,0.05015585749939373,0.05316134845546608
3,svd-log,26.315,0.744,172,860,860,1.0,0.958800200938098,0.12255058538392909,0.18236336659611488,0.2180712459408261
3,svd,22.695,0.533,172,860,860,1.0,0.9715989219385729,0.04903332638774783,0.08016060292857187,0.08581329699273361
