Partition,Algorithm,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,Predict.nDCG,TopN.nDCG,MAP,MRR
3,ii-log,59.319,72.56400000000001,172,860,860,1.0,0.9610687743079342,0.11792666291267694,0.17186016349564118,0.21590381541313747
1,lucene-log,53.985,31.123,173,865,865,1.0,0.9571024153349433,0.11541025572183992,0.18612862003222735,0.21527419280662716
3,ii,18.077,71.078,172,860,860,1.0,0.9760283410309821,0.03368896947477941,0.05090477648567292,0.0528494836552883
2,lucene-log,45.718,27.582,173,865,865,1.0,0.9561164050487745,0.1394359781771101,0.21021948703514357,0.2548791006194505
2,ii,15.6,67.589,173,865,865,1.0,0.972352797433366,0.04456549599156639,0.06585176358248142,0.07175320293007229
2,svd,21.381,0.619,173,865,865,1.0,0.9707094197116299,0.04905733076926333,0.07637962212699397,0.07956100240374997
2,svd-log,23.877,0.704,173,865,865,1.0,0.953245855367372,0.14518593889378523,0.20724008160508586,0.2529158171458481
2,ii-svd-log,83.441,68.06400000000001,173,865,865,1.0,0.9554350199122063,0.1373258231557961,0.1836354023575578,0.22485288236822035
2,popular,0.008,0.266,,,,,,0.13643492673656168,0.19055343615168532,0.23055668581832267
2,lucene-svd-log,63.243,27.355,173,865,865,1.0,0.9561164050487745,0.14165080864780552,0.21311651662466158,0.2577736475955358
2,lucene,0.013000000000000001,24.796,173,865,844,0.9757225433526011,0.964585932151883,0.03450279947036058,0.05077686361741506,0.05149894335916424
2,ii-log,62.648,50.468,173,865,865,1.0,0.9547935406069705,0.14209993668258838,0.2036257654744153,0.24739570362339905
